model,AUROC,util@0.9_lam0.5,util@0.9_lam1.0,util@0.9_lam2.0,util@0.9_lam5.0
Bespoke-Stratos-7B,0.5149522670963494,0.2720238095238095,0.1130952380952381,-0.20476190476190476,-1.1583333333333334
Claude 3.5 Haiku,0.48553276178812005,0.24404761904761904,0.005952380952380952,-0.47023809523809523,-1.8988095238095237
DeepSeek-R1-Distill-Qwen-7B,0.5183774834437086,0.2244047619047619,0.09047619047619047,-0.1773809523809524,-0.9809523809523809
JiuZhang3.0-7B,0.5258508403361345,0.16130952380952382,0.06190476190476191,-0.13690476190476192,-0.7333333333333333
Llama-3.1-8B-Instruct,0.46187591808029765,0.1636904761904762,-0.015476190476190477,-0.3738095238095238,-1.4488095238095238
Ministral-8B-Instruct-2410,0.4974267065820642,0.24523809523809523,0.02976190476190476,-0.4011904761904762,-1.694047619047619
Open-Reasoner-Zero-7B,0.5169747656813266,0.29464285714285715,0.1261904761904762,-0.21071428571428572,-1.2214285714285715
OpenThinker2-7B,0.5394854797979798,0.3494047619047619,0.17023809523809524,-0.1880952380952381,-1.263095238095238
Qwen2.5-32B-Instruct,0.4868903715010217,0.21428571428571427,0.12380952380952381,-0.05714285714285714,-0.6
Qwen2.5-7B,0.5473192407348786,0.2708333333333333,0.1380952380952381,-0.12738095238095237,-0.9238095238095239
Qwen2.5-7B-Instruct,0.49874587108967905,0.19345238095238096,0.09047619047619047,-0.11547619047619048,-0.7333333333333333
Qwen2.5-Math-7B-Instruct,0.49094727414510614,0.15357142857142858,0.025,-0.23214285714285715,-1.0035714285714286
s1.1-7B,0.5289816602316603,0.30357142857142855,0.1761904761904762,-0.07857142857142857,-0.8428571428571429
