gating_outcome,diagnostic,spearman_rho,perm_p,n
sel_acc@cov0.5,PVC_VUS,0.8956043956043955,9.999000099990002e-05,13
sel_acc@cov0.5,CPVC_VUS,0.7802197802197801,0.0024997500249975004,13
sel_acc@cov0.5,PM_CPVC_VUS,0.7493763057248318,0.0053994600539946005,13
sel_acc@cov0.5,ECE,-0.5934065934065934,0.0387961203879612,13
sel_acc@cov0.5,Brier,-0.5934065934065934,0.0354964503549645,13
sel_acc@cov0.5,macro_ECE,-0.6153846153846153,0.026697330266973303,13
sel_acc@cov0.5,worst_cat_ECE,-0.7472527472527472,0.0032996700329967,13
sel_acc@cov0.5,equal_mass_ECE,-0.5934065934065934,0.03799620037996201,13
sel_acc@cov0.5,AUROC,0.5714285714285714,0.04559544045595441,13
sel_acc@cov0.8,PVC_VUS,0.9697006492516792,9.999000099990002e-05,13
sel_acc@cov0.8,CPVC_VUS,0.8457332367052998,0.0004999500049995,13
sel_acc@cov0.8,PM_CPVC_VUS,0.7137317033788174,0.008799120087991202,13
sel_acc@cov0.8,ECE,-0.6115725685621386,0.026497350264973504,13
sel_acc@cov0.8,Brier,-0.6115725685621386,0.0321967803219678,13
sel_acc@cov0.8,macro_ECE,-0.639120882461334,0.022097790220977902,13
sel_acc@cov0.8,worst_cat_ECE,-0.7575786322278744,0.0031996800319968005,13
sel_acc@cov0.8,equal_mass_ECE,-0.6115725685621386,0.029997000299970003,13
sel_acc@cov0.8,AUROC,0.5454566152040696,0.0552944705529447,13
hc_err@thr0.9,PVC_VUS,-0.9560439560439561,9.999000099990002e-05,13
hc_err@thr0.9,CPVC_VUS,-0.8461538461538461,0.0005999400059994001,13
hc_err@thr0.9,PM_CPVC_VUS,-0.7493763057248318,0.0045995400459954,13
hc_err@thr0.9,ECE,0.6373626373626374,0.021997800219978002,13
hc_err@thr0.9,Brier,0.6373626373626374,0.019698030196980302,13
hc_err@thr0.9,macro_ECE,0.6593406593406593,0.0163983601639836,13
hc_err@thr0.9,worst_cat_ECE,0.8241758241758241,0.0012998700129987,13
hc_err@thr0.9,equal_mass_ECE,0.6373626373626374,0.0207979202079792,13
hc_err@thr0.9,AUROC,-0.6153846153846153,0.028897110288971104,13
AURC,PVC_VUS,-0.8956043956043955,0.00019998000199980003,13
AURC,CPVC_VUS,-0.7307692307692307,0.0044995500449955,13
AURC,PM_CPVC_VUS,-0.6658027400306127,0.0170982901709829,13
AURC,ECE,0.4945054945054945,0.08899110088991101,13
AURC,Brier,0.4945054945054945,0.0898910108989101,13
AURC,macro_ECE,0.5384615384615384,0.06159384061593841,13
AURC,worst_cat_ECE,0.6703296703296703,0.012898710128987101,13
AURC,equal_mass_ECE,0.4945054945054945,0.0903909609039096,13
AURC,AUROC,-0.6318681318681317,0.0231976802319768,13
worst_cat_sel_acc@cov0.5,PVC_VUS,0.7816629542459155,0.0023997600239976003,13
worst_cat_sel_acc@cov0.5,CPVC_VUS,0.6659655494658342,0.015798420157984203,13
worst_cat_sel_acc@cov0.5,PM_CPVC_VUS,0.5279407583835184,0.0695930406959304,13
worst_cat_sel_acc@cov0.5,ECE,-0.37531109355489806,0.206979302069793,13
worst_cat_sel_acc@cov0.5,Brier,-0.37531109355489806,0.19358064193580643,13
worst_cat_sel_acc@cov0.5,macro_ECE,-0.4373926278271369,0.137986201379862,13
worst_cat_sel_acc@cov0.5,worst_cat_ECE,-0.8381007126752236,0.00029997000299970003,13
worst_cat_sel_acc@cov0.5,equal_mass_ECE,-0.37531109355489806,0.20687931206879312,13
worst_cat_sel_acc@cov0.5,AUROC,0.4063518606910175,0.16648335166483352,13
