dataset,diagnostic,outcome,spearman_rho,n
Math360,PVC_VUS,sel50,0.7702895870330213,13
Math360,PVC_VUS,hce9,-0.7967032967032966,13
Math360,CPVC_VUS,sel50,0.7537833815965993,13
Math360,CPVC_VUS,hce9,-0.8791208791208791,13
Math360,PM_CPVC_VUS,sel50,0.4986206870274041,13
Math360,PM_CPVC_VUS,hce9,-0.6202351950604683,13
Math360,ECE,sel50,-0.47592892341683096,13
Math360,ECE,hce9,0.6373626373626374,13
Math360,AUROC,sel50,0.6052275326688025,13
Math360,AUROC,hce9,-0.48901098901098894,13
TruthfulQA,PVC_VUS,sel50,0.945054945054945,13
TruthfulQA,PVC_VUS,hce9,-0.9876212919459094,13
TruthfulQA,CPVC_VUS,sel50,0.9725274725274725,13
TruthfulQA,CPVC_VUS,hce9,-0.9601109495518729,13
TruthfulQA,PM_CPVC_VUS,sel50,0.7944299095067362,13
TruthfulQA,PM_CPVC_VUS,hce9,-0.7387003120684679,13
TruthfulQA,ECE,sel50,-0.8681318681318682,13
TruthfulQA,ECE,hce9,0.7922978609482505,13
TruthfulQA,AUROC,sel50,0.5494505494505494,13
TruthfulQA,AUROC,hce9,-0.4539206495016018,13
CSQA,PVC_VUS,sel50,0.7420753186268316,13
CSQA,PVC_VUS,hce9,-0.7197802197802198,13
CSQA,CPVC_VUS,sel50,0.6206949691116622,13
CSQA,CPVC_VUS,hce9,-0.8131868131868131,13
CSQA,PM_CPVC_VUS,sel50,0.6180563225655469,13
CSQA,PM_CPVC_VUS,hce9,-0.44212267604142297,13
CSQA,ECE,sel50,-0.47448682083202615,13
CSQA,ECE,hce9,0.6923076923076923,13
CSQA,AUROC,sel50,0.6620746337191064,13
CSQA,AUROC,hce9,-0.3681318681318681,13
Math500,PVC_VUS,sel50,0.3134610742718224,13
Math500,PVC_VUS,hce9,-0.46767582069862007,13
Math500,CPVC_VUS,sel50,0.5318743216808633,13
Math500,CPVC_VUS,hce9,-0.6923076923076923,13
Math500,PM_CPVC_VUS,sel50,-0.4667730658168561,13
Math500,PM_CPVC_VUS,hce9,0.3857583749052298,13
Math500,ECE,sel50,-0.41552681381317447,13
Math500,ECE,hce9,0.521978021978022,13
Math500,AUROC,sel50,0.11080715035017984,13
Math500,AUROC,hce9,0.016483516483516484,13
