gating_outcome,diagnostic,spearman_rho,p_value,n_models
AURC,ECE,0.4945054945054945,0.08582353060960754,13
AURC,Brier,0.4945054945054945,0.08582353060960754,13
AURC,macro_ECE,0.5384615384615384,0.05763443347046608,13
AURC,worst_cat_ECE,0.6703296703296703,0.01216622031995202,13
AURC,equal_mass_ECE,0.4945054945054945,0.08582353060960754,13
AURC,PVC_VUS,-0.8956043956043955,3.480972994482089e-05,13
AURC,CPVC_VUS,-0.7307692307692307,0.004547733743967148,13
AURC,PM_CPVC_VUS,-0.6658027400306127,0.012985255819316444,13
E_AURC,ECE,0.5824175824175823,0.036741334358654294,13
E_AURC,Brier,0.5824175824175823,0.036741334358654294,13
E_AURC,macro_ECE,0.5659340659340659,0.043792592235454855,13
E_AURC,worst_cat_ECE,0.47802197802197804,0.09849011541638983,13
E_AURC,equal_mass_ECE,0.5824175824175823,0.036741334358654294,13
E_AURC,PVC_VUS,-0.46153846153846156,0.1123759705582514,13
E_AURC,CPVC_VUS,-0.5439560439560439,0.05464653454086547,13
E_AURC,PM_CPVC_VUS,-0.4345825416099397,0.13782069402590894,13
sel_acc@cov0.5,ECE,-0.5934065934065934,0.03252444027009705,13
sel_acc@cov0.5,Brier,-0.5934065934065934,0.03252444027009705,13
sel_acc@cov0.5,macro_ECE,-0.6153846153846153,0.02516711655189932,13
sel_acc@cov0.5,worst_cat_ECE,-0.7472527472527472,0.003326741383429985,13
sel_acc@cov0.5,equal_mass_ECE,-0.5934065934065934,0.03252444027009705,13
sel_acc@cov0.5,PVC_VUS,0.8956043956043955,3.480972994482089e-05,13
sel_acc@cov0.5,CPVC_VUS,0.7802197802197801,0.0016525006574429554,13
sel_acc@cov0.5,PM_CPVC_VUS,0.7493763057248318,0.003190123773104111,13
sel_acc@cov0.8,ECE,-0.6115725685621386,0.02634517116044105,13
sel_acc@cov0.8,Brier,-0.6115725685621386,0.02634517116044105,13
sel_acc@cov0.8,macro_ECE,-0.639120882461334,0.01868615122173651,13
sel_acc@cov0.8,worst_cat_ECE,-0.7575786322278744,0.0027027862432504476,13
sel_acc@cov0.8,equal_mass_ECE,-0.6115725685621386,0.02634517116044105,13
sel_acc@cov0.8,PVC_VUS,0.9697006492516792,4.4641085509946564e-08,13
sel_acc@cov0.8,CPVC_VUS,0.8457332367052998,0.0002698069764490449,13
sel_acc@cov0.8,PM_CPVC_VUS,0.7137317033788174,0.006146240743392902,13
hc_err@thr0.9,ECE,0.6373626373626374,0.0191181137774633,13
hc_err@thr0.9,Brier,0.6373626373626374,0.0191181137774633,13
hc_err@thr0.9,macro_ECE,0.6593406593406593,0.014225578511456699,13
hc_err@thr0.9,worst_cat_ECE,0.8241758241758241,0.0005302228375973587,13
hc_err@thr0.9,equal_mass_ECE,0.6373626373626374,0.0191181137774633,13
hc_err@thr0.9,PVC_VUS,-0.9560439560439561,3.365097276351454e-07,13
hc_err@thr0.9,CPVC_VUS,-0.8461538461538461,0.000266012055752253,13
hc_err@thr0.9,PM_CPVC_VUS,-0.7493763057248318,0.003190123773104111,13
worst_cat_sel_acc@cov0.5,ECE,-0.37531109355489806,0.2063458780230358,13
worst_cat_sel_acc@cov0.5,Brier,-0.37531109355489806,0.2063458780230358,13
worst_cat_sel_acc@cov0.5,macro_ECE,-0.4373926278271369,0.13500570131107362,13
worst_cat_sel_acc@cov0.5,worst_cat_ECE,-0.8381007126752236,0.000346484639578201,13
worst_cat_sel_acc@cov0.5,equal_mass_ECE,-0.37531109355489806,0.2063458780230358,13
worst_cat_sel_acc@cov0.5,PVC_VUS,0.7816629542459155,0.0015984809954621953,13
worst_cat_sel_acc@cov0.5,CPVC_VUS,0.6659655494658342,0.012955098161838114,13
worst_cat_sel_acc@cov0.5,PM_CPVC_VUS,0.5279407583835184,0.06367604008756617,13
util@thr0.9_lam1,ECE,-0.42641030710756533,0.1462259861285703,13
util@thr0.9_lam1,Brier,-0.42641030710756533,0.1462259861285703,13
util@thr0.9_lam1,macro_ECE,-0.47867995765623467,0.0979614341879286,13
util@thr0.9_lam1,worst_cat_ECE,-0.6574971832174717,0.01459520878747666,13
util@thr0.9_lam1,equal_mass_ECE,-0.42641030710756533,0.1462259861285703,13
util@thr0.9_lam1,PVC_VUS,0.8390654430181124,0.0003359373983108029,13
util@thr0.9_lam1,CPVC_VUS,0.6767544228932973,0.01107155181254438,13
util@thr0.9_lam1,PM_CPVC_VUS,0.5328174303593326,0.06082258220602138,13
