model,dataset,sem_PM,null_median,null_mean,inflation_delta_mean,sem_percentile_in_null,sem_below_null_median
Bespoke-Stratos-7B,CSQA,0.0,0.018076962168266535,0.046304964505600156,0.046304964505600156,0.0,True
Bespoke-Stratos-7B,Math360,0.0,0.0,0.001187487351927128,0.001187487351927128,0.0,False
Bespoke-Stratos-7B,TruthfulQA,0.0,0.006216374269005835,0.058740284670729496,0.058740284670729496,0.0,True
Claude 3.5 Haiku,CSQA,0.0,0.0,0.00029496357781973935,0.00029496357781973935,0.0,False
Claude 3.5 Haiku,Math360,0.0,0.0,0.0006201726200827502,0.0006201726200827502,0.0,False
Claude 3.5 Haiku,TruthfulQA,0.0,0.0,0.0057095748271081565,0.0057095748271081565,0.0,False
DeepSeek-R1-Distill-Qwen-7B,CSQA,0.133973651349669,0.0,0.03061103073904635,-0.10336262061062264,92.7,False
DeepSeek-R1-Distill-Qwen-7B,Math360,0.0,0.0,0.005425975320626643,0.005425975320626643,0.0,False
DeepSeek-R1-Distill-Qwen-7B,TruthfulQA,0.07468565011886455,0.0,0.011308356287787518,-0.06337729383107703,94.19999999999999,False
JiuZhang3.0-7B,CSQA,0.007888888888888893,0.05612340437340439,0.09033504135001527,0.08244615246112638,21.0,True
JiuZhang3.0-7B,Math360,0.020217171717171738,0.008395604395604404,0.029770104417463767,0.00955293270029203,63.9,False
JiuZhang3.0-7B,TruthfulQA,0.0,0.0,0.003070356783996877,0.003070356783996877,0.0,False
Llama-3.1-8B-Instruct,CSQA,0.0,0.0,0.0037187725057159777,0.0037187725057159777,0.0,False
Llama-3.1-8B-Instruct,Math360,0.0,0.002904761904761909,0.022195814668920254,0.022195814668920254,0.0,True
Llama-3.1-8B-Instruct,TruthfulQA,0.0,0.0,0.0007724123504402747,0.0007724123504402747,0.0,False
Ministral-8B-Instruct-2410,CSQA,0.0,0.0,0.04416863222599991,0.04416863222599991,0.0,False
Ministral-8B-Instruct-2410,Math360,0.0,0.0,0.0001150921325051761,0.0001150921325051761,0.0,False
Ministral-8B-Instruct-2410,TruthfulQA,0.0,0.0,0.0019619854936382746,0.0019619854936382746,0.0,False
Open-Reasoner-Zero-7B,CSQA,0.0,0.0244939641594104,0.05732817296851269,0.05732817296851269,0.0,True
Open-Reasoner-Zero-7B,Math360,0.0,0.0,0.0009685642618051586,0.0009685642618051586,0.0,False
Open-Reasoner-Zero-7B,TruthfulQA,0.06196916166646951,0.001000000000000002,0.03252912552145632,-0.02944003614501319,80.5,False
OpenThinker2-7B,CSQA,0.0,0.0,0.012993583173382036,0.012993583173382036,0.0,False
OpenThinker2-7B,Math360,0.005148221343873523,0.005148221343873523,0.02433734318822836,0.01918912184435484,48.9,False
OpenThinker2-7B,TruthfulQA,0.0,0.0,0.013661207736819319,0.013661207736819319,0.0,False
Qwen2.5-32B-Instruct,CSQA,0.11780478896214137,0.12536689476151047,0.174508641292185,0.056703852330043616,48.699999999999996,True
Qwen2.5-32B-Instruct,Math360,0.0,0.013893964159410391,0.04092623251178571,0.04092623251178571,0.0,True
Qwen2.5-32B-Instruct,TruthfulQA,0.4755773778500315,0.5536301285442496,0.574529490907949,0.09895211305791751,40.400000000000006,True
Qwen2.5-7B,CSQA,0.17788120021944226,0.010556587547299604,0.0688030007570169,-0.10907819946242536,86.9,False
Qwen2.5-7B,Math360,0.0,0.0,0.008290907980092266,0.008290907980092266,0.0,False
Qwen2.5-7B,TruthfulQA,0.009269005847953201,0.003052631578947366,0.05201532694374283,0.04274632109578963,59.3,False
Qwen2.5-7B-Instruct,CSQA,0.03202207726166537,0.05373387622159327,0.10495976110723108,0.0729376838455657,35.099999999999994,True
Qwen2.5-7B-Instruct,Math360,0.0,0.0,0.003701749334711686,0.003701749334711686,0.0,False
Qwen2.5-7B-Instruct,TruthfulQA,0.4708884807246328,0.1301919973260463,0.20595734264167032,-0.2649311380829625,88.3,False
Qwen2.5-Math-7B-Instruct,CSQA,0.006936274509803908,0.0,0.01925301457710642,0.012316740067302512,74.9,False
Qwen2.5-Math-7B-Instruct,Math360,0.0,0.0,0.00299196963062214,0.00299196963062214,0.0,False
Qwen2.5-Math-7B-Instruct,TruthfulQA,0.0,0.0,0.002390084774946216,0.002390084774946216,0.0,False
s1.1-7B,CSQA,0.1348817511304079,0.15761093972422405,0.21360817733781307,0.07872642620740516,41.8,True
s1.1-7B,Math360,0.0,0.0,0.006053910667553951,0.006053910667553951,0.0,False
s1.1-7B,TruthfulQA,0.2229142514593901,0.1514821775332847,0.20664469565272475,-0.016269555806665337,64.60000000000001,False
