model,dataset,n_categories,sem_worst_calib_gap,null_worst_calib_gap_mean,null_worst_calib_gap_p95,pctile_worst_calib_gap,sem_worst_SEA,null_worst_SEA_mean,null_worst_SEA_p05,pctile_worst_SEA_low,sem_between_SEA_var,null_between_SEA_var_mean,pctile_between_var,sem_PM_CPVC_VUS,null_PM_CPVC_VUS_mean,null_PM_CPVC_VUS_p05,null_PM_CPVC_VUS_p95
Bespoke-Stratos-7B,CSQA,10,0.43333333333333324,0.49327249999999995,0.5916666666666666,12.8,0.5,0.43175,0.3333333333333333,0.8999999999999999,0.003628472222222223,0.009124305555555556,6.1,0.0,0.046304964505600156,0.0,0.22803400564574067
Bespoke-Stratos-7B,Math360,8,0.4595555555555558,0.4926175555555558,0.5529444444444448,19.8,0.4888888888888889,0.45155555555555565,0.37777777777777777,6.3,0.00197530864197531,0.0048367901234567905,10.7,0.0,0.001187487351927128,0.0,0.0009584980237153359
Bespoke-Stratos-7B,TruthfulQA,10,0.4645833333333333,0.4752533333333333,0.5708333333333333,45.300000000000004,0.4166666666666667,0.40904166666666664,0.3333333333333333,33.5,0.007708333333333331,0.009312152777777779,38.5,0.0,0.058740284670729496,0.0,0.25808576381508486
Claude 3.5 Haiku,CSQA,10,0.6516666666666666,0.6674658333333333,0.7416666666666665,36.0,0.2916666666666667,0.276875,0.20833333333333334,25.2,0.007013888888888889,0.009502777777777777,31.3,0.0,0.00029496357781973935,0.0,0.0
Claude 3.5 Haiku,Math360,8,0.5231111111111115,0.503514666666667,0.5722222222222225,67.9,0.4222222222222222,0.44548888888888893,0.37777777777777777,67.2,0.005856481481481482,0.004973765432098766,67.4,0.0,0.0006201726200827502,0.0,0.0008695652173913061
Claude 3.5 Haiku,TruthfulQA,10,0.6245833333333335,0.5786866666666667,0.6766666666666666,79.3,0.2916666666666667,0.351875,0.25,79.10000000000001,0.006961805555555556,0.009587152777777778,30.8,0.0,0.0057095748271081565,0.0,0.0244939641594104
DeepSeek-R1-Distill-Qwen-7B,CSQA,10,0.49791666666666673,0.48804166666666665,0.5812499999999999,62.5,0.3541666666666667,0.39431249999999995,0.3125,74.9,0.01442708333333333,0.008885937499999998,90.3,0.133973651349669,0.03061103073904635,0.0,0.17440094982926696
DeepSeek-R1-Distill-Qwen-7B,Math360,8,0.42666666666666697,0.4350955555555558,0.5033888888888891,43.9,0.5111111111111111,0.492,0.4222222222222222,27.400000000000002,0.004843750000000003,0.004567885802469137,61.9,0.0,0.005425975320626643,0.0,0.025704199745080685
DeepSeek-R1-Distill-Qwen-7B,TruthfulQA,10,0.5333333333333334,0.5162354166666666,0.6020833333333335,66.4,0.2916666666666667,0.3457083333333334,0.25,82.1,0.018750000000000003,0.008998958333333335,97.39999999999999,0.07468565011886455,0.011308356287787518,0.0,0.07468565011886455
JiuZhang3.0-7B,CSQA,10,0.24999999999999994,0.27305,0.3520833333333333,33.900000000000006,0.4583333333333333,0.4337083333333333,0.375,12.0,0.0030555555555555557,0.003777170138888889,39.1,0.007888888888888893,0.09033504135001527,0.0,0.2925656044935456
JiuZhang3.0-7B,Math360,8,0.2633333333333332,0.2558033333333333,0.3111111111111111,63.1,0.5333333333333333,0.48526666666666673,0.43333333333333335,0.1,0.0007098765432098774,0.002470524691358025,3.6999999999999997,0.020217171717171738,0.029770104417463767,0.0,0.1243780810692576
JiuZhang3.0-7B,TruthfulQA,10,0.54375,0.4585458333333334,0.55625,93.2,0.2708333333333333,0.3334375,0.25,90.60000000000001,0.0060590277777777795,0.005750868055555556,59.599999999999994,0.0,0.003070356783996877,0.0,0.010636363636363647
Llama-3.1-8B-Instruct,CSQA,10,0.5458333333333334,0.5656812500000001,0.6479166666666667,33.800000000000004,0.3333333333333333,0.31070833333333336,0.20833333333333334,17.9,0.0023611111111111116,0.009426041666666666,1.6,0.0,0.0037187725057159777,0.0,0.006216374269005835
Llama-3.1-8B-Instruct,Math360,8,0.42666666666666675,0.3921288888888888,0.46,82.39999999999999,0.4666666666666667,0.4995111111111111,0.4222222222222222,73.6,0.005401234567901233,0.004698641975308643,65.10000000000001,0.0,0.022195814668920254,0.0,0.11082094199006304
Llama-3.1-8B-Instruct,TruthfulQA,10,0.7208333333333334,0.6162395833333334,0.7041666666666666,96.7,0.16666666666666666,0.2626666666666666,0.16666666666666666,93.4,0.020989583333333332,0.009119444444444444,98.4,0.0,0.0007724123504402747,0.0,0.0
Ministral-8B-Instruct-2410,CSQA,10,0.41666666666666663,0.49746875,0.5895833333333333,1.5,0.5,0.42275,0.3333333333333333,0.6,0.0015451388888888897,0.009135416666666668,0.0,0.0,0.04416863222599991,0.0,0.22803400564574067
Ministral-8B-Instruct-2410,Math360,8,0.5100000000000002,0.5195922222222223,0.5866666666666667,44.7,0.4222222222222222,0.42184444444444447,0.35555555555555557,42.699999999999996,0.003796296296296294,0.004875555555555556,40.400000000000006,0.0,0.0001150921325051761,0.0,0.0
Ministral-8B-Instruct-2410,TruthfulQA,10,0.6770833333333334,0.6104166666666666,0.7001041666666665,91.4,0.25,0.3035,0.20833333333333334,77.2,0.01215277777777778,0.009490972222222222,77.7,0.0,0.0019619854936382746,0.0,0.0
Open-Reasoner-Zero-7B,CSQA,10,0.4895833333333333,0.4873770833333333,0.5875000000000001,51.9,0.4166666666666667,0.430625,0.3333333333333333,48.4,0.0067534722222222215,0.009144444444444445,30.2,0.0,0.05732817296851269,0.0,0.25323060508116657
Open-Reasoner-Zero-7B,Math360,8,0.46333333333333354,0.4927833333333335,0.5544444444444446,17.299999999999997,0.4888888888888889,0.4587333333333334,0.4,10.100000000000001,0.001597222222222222,0.004786851851851853,4.3,0.0,0.0009685642618051586,0.0,0.0008695652173913061
