model,dataset,util_global_mean,util_global_se,util_semantic_mean,util_semantic_se,util_random_group_mean,util_random_group_se,semantic_minus_global,semantic_minus_random
Bespoke-Stratos-7B,CSQA,0.17216666666666666,0.008267117883231017,0.14383333333333334,0.007584781576593083,0.15916666666666665,0.007222767291484531,-0.02833333333333332,-0.01533333333333331
Bespoke-Stratos-7B,Math360,0.10445652173913043,0.008237559345727575,0.07271739130434782,0.006003696795892137,0.0748913043478261,0.0065957973474643355,-0.03173913043478262,-0.002173913043478276
Bespoke-Stratos-7B,TruthfulQA,0.13133333333333333,0.009176895962204964,0.0965,0.00771182353417285,0.0955,0.009169634646292363,-0.03483333333333333,0.0010000000000000009
Claude 3.5 Haiku,CSQA,-0.013166666666666667,0.00969223103333944,-0.08,0.008786972422498065,-0.05716666666666667,0.009621552007786931,-0.06683333333333333,-0.02283333333333333
Claude 3.5 Haiku,Math360,0.10239130434782608,0.006758423309998286,0.07728260869565219,0.005503754886474467,0.07869565217391304,0.006344151189180178,-0.025108695652173885,-0.0014130434782608503
Claude 3.5 Haiku,TruthfulQA,-0.01633333333333333,0.005568375231707041,-0.022333333333333334,0.007207800007795786,-0.005333333333333334,0.008786198205797808,-0.006000000000000002,-0.017
DeepSeek-R1-Distill-Qwen-7B,CSQA,0.08833333333333332,0.006546536707079771,0.09733333333333333,0.006638716921083217,0.0915,0.006373174008198388,0.009000000000000008,0.005833333333333329
DeepSeek-R1-Distill-Qwen-7B,Math360,0.19380434782608696,0.008211643483040765,0.15163043478260868,0.0063536646157033435,0.1625,0.005825051391895247,-0.042173913043478284,-0.010869565217391325
DeepSeek-R1-Distill-Qwen-7B,TruthfulQA,-0.02983333333333333,0.006375841947869919,0.03616666666666666,0.007805058247083286,-0.015000000000000003,0.007637626158259732,0.06599999999999999,0.051166666666666666
JiuZhang3.0-7B,CSQA,0.061,0.005186105630429959,0.05416666666666666,0.005277181014119405,0.06,0.00528120786019496,-0.006833333333333337,-0.005833333333333336
JiuZhang3.0-7B,Math360,0.1182608695652174,0.0043989891204039185,0.1091304347826087,0.004254885064460658,0.12054347826086957,0.004116195743291511,-0.009130434782608707,-0.011413043478260873
JiuZhang3.0-7B,TruthfulQA,-0.05883333333333333,0.006773840907116187,-0.07916666666666666,0.0071636601825382775,-0.07516666666666666,0.006824201630312257,-0.020333333333333335,-0.0040000000000000036
Llama-3.1-8B-Instruct,CSQA,-0.04166666666666666,0.009057012667433443,-0.09766666666666665,0.007878902049503403,-0.061166666666666675,0.009049529873408077,-0.055999999999999994,-0.03649999999999998
Llama-3.1-8B-Instruct,Math360,0.21119565217391303,0.006937380081150224,0.1741304347826087,0.006003837359363713,0.16978260869565218,0.007355005077327415,-0.037065217391304334,0.004347826086956524
Llama-3.1-8B-Instruct,TruthfulQA,-0.0015000000000000002,0.001839507229687495,-0.049333333333333326,0.006821501287736747,-0.0775,0.0083850436442573,-0.047833333333333325,0.028166666666666673
Ministral-8B-Instruct-2410,CSQA,0.13233333333333333,0.010420958299604032,0.09216666666666665,0.007628008123783557,0.09483333333333333,0.008580980127855357,-0.040166666666666684,-0.0026666666666666783
Ministral-8B-Instruct-2410,Math360,0.03673913043478261,0.004744443185088238,0.02945652173913043,0.0051103001124120145,0.04086956521739131,0.005483895216670799,-0.007282608695652178,-0.01141304347826088
Ministral-8B-Instruct-2410,TruthfulQA,-0.027999999999999997,0.009653169089443515,-0.04783333333333333,0.005782381952369101,-0.0535,0.007656492805858815,-0.019833333333333335,0.005666666666666667
Open-Reasoner-Zero-7B,CSQA,0.15166666666666667,0.007759128922285867,0.1105,0.007863669727760798,0.12,0.007875159718352965,-0.04116666666666667,-0.009499999999999995
Open-Reasoner-Zero-7B,Math360,0.14282608695652174,0.00804917182600814,0.09717391304347826,0.006585462125602037,0.1216304347826087,0.006837395755009411,-0.04565217391304348,-0.024456521739130432
Open-Reasoner-Zero-7B,TruthfulQA,0.07783333333333334,0.007673207798165784,0.05733333333333333,0.006948302783027367,0.07083333333333333,0.008385043644257302,-0.020500000000000004,-0.013499999999999998
OpenThinker2-7B,CSQA,0.09583333333333334,0.008816760219659773,0.10933333333333334,0.009324218095041546,0.07316666666666666,0.008001169132257685,0.013499999999999998,0.03616666666666668
OpenThinker2-7B,Math360,0.2908695652173913,0.006419713644280797,0.2719565217391305,0.005598595970524329,0.2758695652173913,0.006620007947685695,-0.018913043478260838,-0.003913043478260825
OpenThinker2-7B,TruthfulQA,0.058499999999999996,0.007790081780678548,0.04316666666666667,0.008413525715536049,0.04449999999999999,0.008840389942251742,-0.015333333333333324,-0.0013333333333333183
Qwen2.5-32B-Instruct,CSQA,0.24366666666666664,0.007952380952380952,0.1876666666666667,0.007858008610311386,0.19883333333333333,0.007221825385923001,-0.05599999999999994,-0.01116666666666663
Qwen2.5-32B-Instruct,Math360,0.2704347826086957,0.007656964399514942,0.23206521739130434,0.007077151888647187,0.23815217391304352,0.006212519265577273,-0.03836956521739135,-0.006086956521739184
Qwen2.5-32B-Instruct,TruthfulQA,0.3116666666666667,0.006463748552618203,0.28450000000000003,0.006658200406495828,0.28600000000000003,0.006274340358856498,-0.027166666666666672,-0.0015000000000000013
Qwen2.5-7B,CSQA,0.11950000000000001,0.00990490498980898,0.08583333333333332,0.007488653548722168,0.0885,0.007896330845166413,-0.03366666666666669,-0.0026666666666666783
Qwen2.5-7B,Math360,0.19304347826086957,0.006485108604914044,0.17880434782608698,0.00602446451384048,0.18880434782608696,0.00645262475793638,-0.014239130434782588,-0.009999999999999981
Qwen2.5-7B,TruthfulQA,0.124,0.006952380952380951,0.07016666666666667,0.0066072608312075865,0.09849999999999999,0.006626965117357014,-0.05383333333333333,-0.02833333333333332
Qwen2.5-7B-Instruct,CSQA,0.20833333333333331,0.0099687721025992,0.17000000000000004,0.007964632706513207,0.147,0.007885087391690923,-0.038333333333333275,0.023000000000000048
Qwen2.5-7B-Instruct,Math360,0.14934782608695651,0.006853862074101933,0.12391304347826088,0.006911246299462077,0.13108695652173913,0.005979047298438749,-0.02543478260869564,-0.007173913043478253
Qwen2.5-7B-Instruct,TruthfulQA,0.21866666666666668,0.010886343355568425,0.16983333333333334,0.007655752361308919,0.16766666666666669,0.007081642455246211,-0.04883333333333334,0.00216666666666665
Qwen2.5-Math-7B-Instruct,CSQA,0.005333333333333333,0.005796824527547354,-0.0023333333333333327,0.006240820923964142,0.025166666666666667,0.007382833861578114,-0.007666666666666665,-0.0275
Qwen2.5-Math-7B-Instruct,Math360,0.08717391304347827,0.007009902225829818,0.05271739130434782,0.005994372095328451,0.05608695652173913,0.00621009307257652,-0.03445652173913045,-0.0033695652173913113
Qwen2.5-Math-7B-Instruct,TruthfulQA,-0.020499999999999997,0.008969619926878343,-0.02483333333333334,0.008110944147630804,-0.04483333333333332,0.007603742067169052,-0.004333333333333342,0.019999999999999983
s1.1-7B,CSQA,0.3003333333333333,0.008601007165619531,0.2683333333333333,0.007055015423823358,0.2723333333333333,0.007207800007795786,-0.03199999999999997,-0.0040000000000000036
s1.1-7B,Math360,0.16923913043478261,0.006953002797863837,0.1490217391304348,0.006226862964880124,0.16717391304347828,0.006489420067880237,-0.020217391304347826,-0.018152173913043496
