model,quantity,mean,ci_lo,ci_hi
Bespoke-Stratos-7B,PM_CPVC_VUS,0.10802288615136887,0.0003170995670995673,0.3439471369104519
Bespoke-Stratos-7B,AURC,0.42049225230400417,0.37389745626377036,0.46743444388360605
Bespoke-Stratos-7B,conf_gap,0.0017145798579062518,-0.005606476678455282,0.0089685142488082
Claude 3.5 Haiku,PM_CPVC_VUS,0.017233181988775173,0.0,0.10527557819503133
Claude 3.5 Haiku,AURC,0.4843252586895086,0.4388175741832935,0.5290673945195187
Claude 3.5 Haiku,conf_gap,-0.002143054777977176,-0.00523889700560852,0.0011523184434176492
DeepSeek-R1-Distill-Qwen-7B,PM_CPVC_VUS,0.20580925158321975,0.016346353916507697,0.5256595040745052
DeepSeek-R1-Distill-Qwen-7B,AURC,0.4402189854243054,0.3931721070048931,0.48913314762639654
DeepSeek-R1-Distill-Qwen-7B,conf_gap,0.005208236468639635,-0.004585960580050316,0.01469198412129109
JiuZhang3.0-7B,PM_CPVC_VUS,0.11279568849405301,0.004372160151939554,0.2830787712363197
JiuZhang3.0-7B,AURC,0.4547393379526927,0.41052616515919127,0.4989478949274728
JiuZhang3.0-7B,conf_gap,0.025274287037071047,-0.004670928522080109,0.05421344805042872
Llama-3.1-8B-Instruct,PM_CPVC_VUS,0.059711444138728476,0.0,0.22545875445250188
Llama-3.1-8B-Instruct,AURC,0.5115251115797538,0.4637863630163607,0.5599458513973573
Llama-3.1-8B-Instruct,conf_gap,-0.0039609563839740234,-0.013132652188750515,0.006243359426976663
Ministral-8B-Instruct-2410,PM_CPVC_VUS,0.03497816492291111,0.0,0.2062569028205849
Ministral-8B-Instruct-2410,AURC,0.46675031878894957,0.4184584530667268,0.5101722345964145
Ministral-8B-Instruct-2410,conf_gap,0.0005150155993301421,-0.005481775862807478,0.007032433120714649
Open-Reasoner-Zero-7B,PM_CPVC_VUS,0.1470984223451766,0.0017065470411866315,0.4073354257276252
Open-Reasoner-Zero-7B,AURC,0.41914160446085474,0.3764917429392825,0.4697004713103101
Open-Reasoner-Zero-7B,conf_gap,0.007395321908334975,-0.001632717040719489,0.01709037010106054
OpenThinker2-7B,PM_CPVC_VUS,0.0669168033413387,0.0,0.24731003548528865
OpenThinker2-7B,AURC,0.3800896343550734,0.3352462214114706,0.42449863706378305
OpenThinker2-7B,conf_gap,0.00650128041627479,-0.003480903246765177,0.017422128717717606
Qwen2.5-32B-Instruct,PM_CPVC_VUS,0.493709540842638,0.16096437621768556,0.903772457180555
Qwen2.5-32B-Instruct,AURC,0.3685738274944924,0.3239123255472407,0.4154781929934639
Qwen2.5-32B-Instruct,conf_gap,-0.0020191363496289885,-0.009808973441474378,0.005492719058875061
Qwen2.5-7B,PM_CPVC_VUS,0.23617374390995277,0.028604762964049204,0.5358708418717121
Qwen2.5-7B,AURC,0.37692125387649955,0.3342783810539013,0.4200848494148427
Qwen2.5-7B,conf_gap,0.014313010026712224,0.0051078942698572416,0.024479438607155946
Qwen2.5-7B-Instruct,PM_CPVC_VUS,0.3561468581498044,0.08126286516325268,0.7019583025937671
Qwen2.5-7B-Instruct,AURC,0.40314777059371304,0.35565552328812117,0.451791247379285
Qwen2.5-7B-Instruct,conf_gap,0.0008081594907921104,-0.005905987546612807,0.007490360744398389
Qwen2.5-Math-7B-Instruct,PM_CPVC_VUS,0.08186074619732904,0.0,0.26475865840120144
Qwen2.5-Math-7B-Instruct,AURC,0.49595677196509064,0.4475491833952723,0.5392545505761828
Qwen2.5-Math-7B-Instruct,conf_gap,-0.0038310983034928682,-0.01718824156842532,0.009362605870102408
s1.1-7B,PM_CPVC_VUS,0.3859267871991584,0.10888278985314258,0.7555223627169112
s1.1-7B,AURC,0.35760658482789376,0.3131670191982873,0.40579326597078363
s1.1-7B,conf_gap,0.009178706708624907,0.0008887298446340814,0.017774025192035258
