dataset,model,n_graded,n_ungraded,conf_diff,sea_diff
Math360,JiuZhang3.0-7B,151,209,-0.018015463100858775,-0.10396400392914856
Math360,Qwen2.5-32B-Instruct,69,291,-0.006499327655759557,0.019572687882862705
Math360,Qwen2.5-7B,114,246,0.01804664099272557,-0.052417629439452273
Math360,s1.1-7B,284,76,0.008055967383246654,-0.12175685693105998
Math500,JiuZhang3.0-7B,314,186,-0.02321758783644956,-0.10653379905485927
Math500,Llama-3.1-8B-Instruct,244,256,-0.0024654200819671512,-0.06486936475409832
Math500,Ministral-8B-Instruct-2410,124,376,0.00308853809196985,-0.03157172271791353
Math500,Open-Reasoner-Zero-7B,492,8,,
Math500,Qwen2.5-7B,319,181,0.0033348343407403336,-0.004052719998614451
Math500,Qwen2.5-7B-Instruct,444,56,-0.005855855855856018,0.09443371943371942
Math500,Qwen2.5-Math-7B-Instruct,476,24,0.0012605042016806678,0.0021008403361344463
