N,SEA,mean_conf,ECE,Brier,sel_acc@50,HC_err@0.9,cov@0.9,AURC,PVC_VUS,CPVC_VUS,PM_CPVC_VUS,conf_gap,model_dataset,source
342,0.5292397660818714,0.7194444444444444,0.19605263157894734,0.2904751461988304,0.6432748538011696,0.3355263157894737,0.4444444444444444,0.40781451054668155,4.23,3.448150000000001,0.05801226551226553,0.11185100030884321,JiuZhang3.0-7B_math360.jsonl,verbalized
342,0.5292397660818714,0.49552005012531325,0.07484335839599003,0.243907561102197,0.5730994152046783,0.125,0.023391812865497075,0.37540281448492324,4.23,3.997800000000001,0.005151515151515156,0.0686343982704779,JiuZhang3.0-7B_math360.jsonl,fixed-cons
342,0.5409356725146199,0.6131961849067112,0.07226051239209125,0.243907561102197,0.6257309941520468,0.25,0.04678362573099415,0.35888550515122175,4.330000000000001,4.028400000000001,0.37709479409479396,0.049673618113108664,JiuZhang3.0-7B_math360.jsonl,modal-cons
468,0.5427350427350427,0.6933760683760684,0.15064102564102566,0.30167735042735044,0.5982905982905983,0.3846153846153846,0.3888888888888889,0.4046007164999847,3.8150000000000066,3.2800250000000055,0.05238394938394942,0.054091544631687305,JiuZhang3.0-7B_math500.jsonl,verbalized
468,0.5427350427350427,0.528454415954416,0.049141907475240804,0.23827513792791574,0.6367521367521367,0.2272727272727273,0.04700854700854701,0.34831853811910435,3.8150000000000066,3.663875000000006,0.06121878121878114,0.09412436179122474,JiuZhang3.0-7B_math500.jsonl,fixed-cons
468,0.6004273504273504,0.6336809795143127,0.037418599918599936,0.23827513792791574,0.6709401709401709,0.21621621621621623,0.07905982905982906,0.3194497693491837,4.255000000000007,4.049175000000007,0.5734625917112455,0.04647478100482072,JiuZhang3.0-7B_math500.jsonl,modal-cons
500,0.566,0.8945000000000001,0.3321,0.35715500000000006,0.56,0.4257907542579076,0.822,0.4412777567945287,3.965000000000006,2.6671250000000035,0.0,0.00046001530670403135,Llama-3.1-8B-Instruct_math500,verbalized
500,0.566,0.5398,0.06580000000000001,0.23718,0.648,0.26315789473684215,0.038,0.3552772753761806,3.965000000000006,3.7308250000000065,0.06707015207015207,0.08741593525589875,Llama-3.1-8B-Instruct_math500,fixed-cons
500,0.596,0.6477999999999999,0.05179999999999994,0.23718,0.664,0.1785714285714286,0.056,0.32936068908721033,4.195000000000006,3.9439250000000063,0.6099021359617334,0.04116220346866917,Llama-3.1-8B-Instruct_math500,modal-cons
500,0.566,0.9197999999999998,0.35900000000000004,0.37322000000000005,0.604,0.4253164556962026,0.79,0.4113446916660945,3.935000000000007,2.5431250000000034,0.0,0.0040432495806944635,Qwen2.5-7B-Instruct_math500.jsonl,verbalized
500,0.566,0.5442,0.0722,0.2309,0.632,0.19999999999999996,0.1,0.32217840426524913,3.935000000000007,3.7724750000000062,0.15044588744588722,0.09844653238019241,Qwen2.5-7B-Instruct_math500.jsonl,fixed-cons
500,0.62,0.5898,0.0718,0.2309,0.696,0.15873015873015872,0.126,0.2783810090443571,4.3550000000000075,4.1991750000000065,0.5532087634587635,0.06928692699490657,Qwen2.5-7B-Instruct_math500.jsonl,modal-cons
350,0.5942857142857143,0.9157142857142857,0.3214285714285714,0.3368142857142857,0.6514285714285715,0.37323943661971826,0.8114285714285714,0.33200959472906555,4.75,3.24085,0.0,0.0240723185265439,Qwen2.5-7B_math360.jsonl,verbalized
350,0.5942857142857143,0.5093956916099773,0.11736621315192747,0.2659303958355829,0.6,0.4285714285714286,0.02,0.37289189717893734,4.75,4.3276,0.045098124098124096,0.012391442673132746,Qwen2.5-7B_math360.jsonl,fixed-cons
350,0.5685714285714286,0.5964637188208617,0.08856349206349201,0.2659303958355829,0.5657142857142857,0.6,0.04285714285714286,0.45903472471036566,4.540000000000001,4.295800000000002,0.3709051504051502,-0.01117446002217548,Qwen2.5-7B_math360.jsonl,modal-cons
483,0.567287784679089,0.906832298136646,0.3420289855072464,0.3596169772256729,0.5785123966942148,0.4199475065616798,0.7888198757763976,0.3885530496248406,3.885000000000007,2.5636750000000035,0.0,0.019212971047392835,Qwen2.5-7B_math500.jsonl,verbalized
483,0.567287784679089,0.5056418219461698,0.07799878405468468,0.24711193132647585,0.6115702479338843,0.5,0.012422360248447204,0.36630762894304775,3.885000000000007,3.6185750000000065,0.006282051282051285,0.03981347279945041,Qwen2.5-7B_math500.jsonl,fixed-cons
483,0.5817805383022774,0.5802762167669,0.04073827598672322,0.24711193132647585,0.6074380165289256,0.4545454545454546,0.022774327122153208,0.37949000729124077,3.9550000000000054,3.7908750000000055,0.3611535686535685,0.014745270281985023,Qwen2.5-7B_math500.jsonl,modal-cons
233,0.5879828326180258,0.9074678111587982,0.31948497854077257,0.33825236051502144,0.6293103448275862,0.3707865168539326,0.7639484978540773,0.35181153654266795,4.740000000000001,3.2892,0.04841896864446335,0.030948144768856545,s1.1-7B_math360.jsonl,verbalized
233,0.5879828326180258,0.47628585053477757,0.24637236868996523,0.313138553943275,0.6206896551724138,0.34615384615384615,0.11158798283261803,0.38158954571972736,4.740000000000001,4.1103000000000005,0.0,0.05423799385934425,s1.1-7B_math360.jsonl,fixed-cons
233,0.5450643776824035,0.7278527147625861,0.2255705429525172,0.313138553943275,0.5258620689655172,0.41666666666666663,0.2575107296137339,0.452708610875338,4.300000000000002,3.572350000000001,0.3247050090432443,0.003166378966779959,s1.1-7B_math360.jsonl,modal-cons
